Sygnatura czasowa;Nazwa użytkownika;Gender;Age;Country;Age when started playing video games;Average hours per week spend on games;I lose track of time;I was interested in the game's story;I feel different ;I feel scared;The game feels real;I was fully occupied with the game;I get wound up;Time seems to kind of stand still or stop;I feel spaced out;I was deeply concentrated in the game;I got tired;Playing seems automatic;My thoughts go fast;I enjoyed it;I play without thinking how to play;Playing makes me feel calm;I play longer than I meant to;I really get into the game;I feel like I just can't stop playing;How did you feel interacting with NPCs?;How interested were you in talking to NPCs?;Did you enjoy talking to NPCs?;Other thoughts;I lose track of time_1;I was interested in the game's story_2;I feel different _3;I felt that I could explore things;The game feels real_4;I was fully occupied with the game_5;I get wound up_6;Time seems to kind of stand still or stop_7;I feel spaced out_8;I was deeply concentrated in the game_9;I got tired_10;Playing seems automatic_11;My thoughts go fast_12;I enjoyed it_13;I play without thinking how to play_14;Playing makes me feel calm_15;I play longer than I meant to_16;I really get into the game_17;I feel like I just can't stop playing_18;How did you feel interacting with NPCs?_19;How interested were you in talking to NPCs?_20;Did you enjoy talking to NPCs?_21;Other thoughts_22
2024/05/11 12:33:40 AM EEST;REDACTED;Male;24;Poland;<7yo;15-20h;3;3;4;1;1;3;2;2;2;3;1;4;2;4;4;3;1;2;2;It felt like reading a novel. The game left no room for my own decisions when talking to the NPC's.;I was quite interested, but then i honestly forgot their names.;Not all of them. Some felt boring.;The game played like a novel. There was little to no decisionmaking involved, only at the end.;4;4;4;5;4;5;5;3;2;4;4;2;2;5;3;2;2;4;2;I had more to say when interacting with the NPC's. It felt nice to really talk to them and try to get more information.;I was actually interested.;Yes I did.;The game felt quite real. 
2024/05/14 2:25:05 PM EEST;REDACTED;Female;23;Netherlands;13-15;<5h;2;2;2;2;2;2;2;2;2;2;5;2;2;2;5;2;2;2;2;it felt a bit static since there was not a lot of interaction possibility;not too much, it did not feel like I was really talking to them but more reading;Not really, see above answers;I feel like the answer options that are the same every time bored me;2;2;2;2;2;2;2;2;2;2;4;2;2;2;2;2;2;2;2;Better, since now I felt like I had more control in the interaciton;More, since there was more interaction;A little;
2024/05/14 6:20:28 PM EEST;REDACTED;Male;30;Russia;7-12;<5h;1;1;1;1;1;1;1;1;1;3;5;3;2;1;3;1;5;1;1;Скуку, у меня текстовое окно больше персонажей было, не до Делано. ;От слова совсем не интересно;Нет;Графические элементы вашей визуальной новеллы нуждаются в доработке, включая спецэффектов. Текстовое окно не  должно занимать 50% экрана и не должно отодвигает персонажей на 2 план. Проект сырой. ;1;1;1;3;1;1;1;1;1;5;5;3;2;1;5;3;5;1;1;Скуку;Ни капли, полный 0;Нет;От перестановки слагаемых, то есть запикселированых картинок, интереснее играть не стало.
2024/05/16 12:18:05 AM EEST;REDACTED;Female;28;United Kingdom;13-15;<5h;4;3;2;1;1;3;3;1;1;2;4;5;3;2;5;2;2;3;1;Not realistic ;Not at all, conversation wasn't very good ;No;Game felt rushed, not enjoyable, couldn't get into the characters, bad dialogue.;4;3;3;5;3;3;1;2;1;1;4;1;3;4;3;2;1;2;1;Like with an AI chat, I was quite impressed tbh;Quite a bit, but for the wrong reasons, it was actually distracting me from the game.;A bit.;Certainly took away from the game at hand having too many options for conversation, as you get distracted by wondering how the AI will respond.
2024/05/18 5:01:14 PM EEST;REDACTED;Female;22;Portugal;7-12;<5h;1;2;1;1;2;1;1;1;2;1;4;4;3;2;4;2;2;2;2;It was too much information at the same time. Too rushed. So I felt overwhelmed and tired.;Not very interested. They all appeared together, which I didn't think was a good option. Also the beginning was kind of rushed.;The conversation happened really fast.;;2;3;3;4;4;1;2;1;2;1;3;2;2;3;3;2;2;4;1;A little tiring. The answer took a long time to come. So I couldn't get totally immersed in the story or totally focus on it. ;It was very interesting that I could choose what questions to ask. I felt that the game or the world where the game is, was much more real.;I really enjoyed it. Especially that I could be the one to ask the questions. It felt more real. However, the majority of my questions were not answered because the game/program didn't have that information. I think that's an aspect to be improved.;
2024/05/18 5:52:20 PM EEST;REDACTED;Female;26;China;7-12;<5h;4;4;3;3;2;4;4;4;4;4;3;3;4;4;5;4;2;4;3;I like the conversation but I expected more information would be given. And the image of the NPCs do not change much;I like the idea of finding out clues;I did;What's the ending? It's not clear to me!;3;2;3;5;3;2;2;2;2;2;4;3;2;2;5;3;2;2;2;More room in exploring more answers;It was interested, but i wish there is a list of characters somewhere because i kept forgeting their names;I did;An error occured in the middle, and it would be better to do a between-subject design instead of a within subject design. The same participants already knows the plot from the first version, which may decrease their interst in the second one, even the second one provide a little bit different functions.
2024/05/28 5:22:11 PM EEST;REDACTED;Female;15;India;7-12;15-20h;3;5;4;3;4;5;3;3;3;5;2;5;5;5;4;3;5;5;5;Great;Not bad;Maybe;"NPCs should help you with tasks
";3;5;5;5;5;5;5;5;4;5;3;2;5;5;2;5;5;5;5;Great;"Not bad
";I think so... ;Arigato.. 
2024/05/30 3:08:34 AM EEST;REDACTED;Female;36;United States;7-12;<5h;2;4;1;1;1;4;1;1;1;3;3;3;1;5;1;3;1;3;1;i don't feel any particular way;somewhat;somewhat;none;1;4;1;3;1;3;1;1;1;3;1;1;1;4;1;2;1;3;1;indifferent;somewhat;somewhat;none
2024/06/01 5:42:10 PM EEST;REDACTED;Female;38;United Kingdom;<7yo;<5h;3;3;1;1;1;1;1;1;1;1;1;2;1;3;1;4;2;3;1;Okay ;Comfortable ;It was okay ;;1;1;1;2;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;Fine;Not that interested;Not really ;
2024/06/01 9:51:34 PM EEST;REDACTED;Female;20;India;16-19;<5h;4;4;4;2;3;4;2;2;4;4;4;4;4;4;4;4;4;4;4;2;Very;Yes;;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4; Great;Excited ;Yes;
